,country_id,country_value,indicator_name,year,value,region,incomeLevel,lendingType,longitude,latitude
2326,MF,St. Martin (French part),Poverty headcount ratio at national poverty lines (% of population),2019,,Latin America & Caribbean ,High income,Not classified,,
2327,MF,St. Martin (French part),Poverty headcount ratio at national poverty lines (% of population),2018,,Latin America & Caribbean ,High income,Not classified,,
2328,MF,St. Martin (French part),Poverty headcount ratio at national poverty lines (% of population),2017,,Latin America & Caribbean ,High income,Not classified,,
2329,MF,St. Martin (French part),Poverty headcount ratio at national poverty lines (% of population),2016,,Latin America & Caribbean ,High income,Not classified,,
2330,VC,St. Vincent and the Grenadines,Poverty headcount ratio at national poverty lines (% of population),2025,,Latin America & Caribbean ,Upper middle income,Blend,-61.2653,13.2035
2331,VC,St. Vincent and the Grenadines,Poverty headcount ratio at national poverty lines (% of population),2024,,Latin America & Caribbean ,Upper middle income,Blend,-61.2653,13.2035
2332,VC,St. Vincent and the Grenadines,Poverty headcount ratio at national poverty lines (% of population),2023,,Latin America & Caribbean ,Upper middle income,Blend,-61.2653,13.2035
2333,VC,St. Vincent and the Grenadines,Poverty headcount ratio at national poverty lines (% of population),2022,,Latin America & Caribbean ,Upper middle income,Blend,-61.2653,13.2035
2334,VC,St. Vincent and the Grenadines,Poverty headcount ratio at national poverty lines (% of population),2021,,Latin America & Caribbean ,Upper middle income,Blend,-61.2653,13.2035
2335,VC,St. Vincent and the Grenadines,Poverty headcount ratio at national poverty lines (% of population),2020,,Latin America & Caribbean ,Upper middle income,Blend,-61.2653,13.2035
2336,VC,St. Vincent and the Grenadines,Poverty headcount ratio at national poverty lines (% of population),2019,,Latin America & Caribbean ,Upper middle income,Blend,-61.2653,13.2035
2337,VC,St. Vincent and the Grenadines,Poverty headcount ratio at national poverty lines (% of population),2018,,Latin America & Caribbean ,Upper middle income,Blend,-61.2653,13.2035
2338,VC,St. Vincent and the Grenadines,Poverty headcount ratio at national poverty lines (% of population),2017,,Latin America & Caribbean ,Upper middle income,Blend,-61.2653,13.2035
2339,VC,St. Vincent and the Grenadines,Poverty headcount ratio at national poverty lines (% of population),2016,,Latin America & Caribbean ,Upper middle income,Blend,-61.2653,13.2035
2340,SD,Sudan,Poverty headcount ratio at national poverty lines (% of population),2025,,Sub-Saharan Africa ,Low income,IDA,32.5363,15.5932
2341,SD,Sudan,Poverty headcount ratio at national poverty lines (% of population),2024,,Sub-Saharan Africa ,Low income,IDA,32.5363,15.5932
2342,SD,Sudan,Poverty headcount ratio at national poverty lines (% of population),2023,,Sub-Saharan Africa ,Low income,IDA,32.5363,15.5932
2343,SD,Sudan,Poverty headcount ratio at national poverty lines (% of population),2022,,Sub-Saharan Africa ,Low income,IDA,32.5363,15.5932
2344,SD,Sudan,Poverty headcount ratio at national poverty lines (% of population),2021,,Sub-Saharan Africa ,Low income,IDA,32.5363,15.5932
2345,SD,Sudan,Poverty headcount ratio at national poverty lines (% of population),2020,,Sub-Saharan Africa ,Low income,IDA,32.5363,15.5932
2346,SD,Sudan,Poverty headcount ratio at national poverty lines (% of population),2019,,Sub-Saharan Africa ,Low income,IDA,32.5363,15.5932
2347,SD,Sudan,Poverty headcount ratio at national poverty lines (% of population),2018,,Sub-Saharan Africa ,Low income,IDA,32.5363,15.5932
2348,SD,Sudan,Poverty headcount ratio at national poverty lines (% of population),2017,,Sub-Saharan Africa ,Low income,IDA,32.5363,15.5932
2349,SD,Sudan,Poverty headcount ratio at national poverty lines (% of population),2016,,Sub-Saharan Africa ,Low income,IDA,32.5363,15.5932
2350,SR,Suriname,Poverty headcount ratio at national poverty lines (% of population),2025,,Latin America & Caribbean ,Upper middle income,Blend,-55.1679,5.8232
2351,SR,Suriname,Poverty headcount ratio at national poverty lines (% of population),2024,,Latin America & Caribbean ,Upper middle income,Blend,-55.1679,5.8232
2352,SR,Suriname,Poverty headcount ratio at national poverty lines (% of population),2023,,Latin America & Caribbean ,Upper middle income,Blend,-55.1679,5.8232
2353,SR,Suriname,Poverty headcount ratio at national poverty lines (% of population),2022,17.6,Latin America & Caribbean ,Upper middle income,Blend,-55.1679,5.8232
2354,SR,Suriname,Poverty headcount ratio at national poverty lines (% of population),2021,,Latin America & Caribbean ,Upper middle income,Blend,-55.1679,5.8232
2355,SR,Suriname,Poverty headcount ratio at national poverty lines (% of population),2020,,Latin America & Caribbean ,Upper middle income,Blend,-55.1679,5.8232
